id_slug,canonical_term,short_definition,long_definition,category,priority,classification,status
theme,Theme,"A defined set of visual styling (colors, fonts, spacing) that can be applied to a product's interface, often swappable (e.g., light/dark mode).",Enabled by a well-structured design system with tokens — themes let the same components render differently without redesigning each screen.,Design & UX,2,Non-Technical,active
usability,Usability,How easily and effectively users can accomplish their goals with a product.,"Typically assessed along dimensions like learnability, efficiency, error rate, and satisfaction — a foundational quality bar independent of visual aesthetics.",Design & UX,2,Non-Technical,active
usability-test,Usability test,A single session or instance of usability testing.,See Usability Testing.,Design & UX,2,Non-Technical,active
usability-testing,Usability Testing,Observing real users attempting tasks with a product to identify points of confusion or friction.,One of the most direct ways to catch usability problems — seeing where users actually get stuck is far more reliable than predicting it from a desk.,Design & UX,1,Non-Technical,active
user-experience,User Experience (UX),"The overall experience a person has while interacting with a product, including usability, emotion, and satisfaction.","Broader than the interface alone — UX includes performance, content, and how the product fits into the user's larger context and goals.",Design & UX,1,Non-Technical,active
user-flow,User Flow,"The path a user takes through a product to complete a specific task, step by step.","Mapped out during design to identify unnecessary friction or missing steps before a feature is built — a key tool for reasoning about a feature's structure, not just its visuals.",Design & UX,1,Non-Technical,active
user-interface,User Interface (UI),"The visual and interactive elements a user directly engages with — screens, buttons, menus — to operate a product.","Narrower than UX: UI is specifically the interface layer, while UX encompasses the full experience including how that interface makes users feel and whether it helps them succeed.",Design & UX,1,Non-Technical,active
user-centered-design,User-centered design,"A design philosophy and process that keeps real user needs, behaviors, and feedback at the center of every design decision.","Operationalized through techniques like user research, usability testing, and iterative design — the practical implementation of a Customer Centric mindset applied to design.",Design & UX,2,Non-Technical,active
variable,Variable,"In design systems, a named, reusable value (like a spacing amount or color) that can be referenced and updated centrally.",See Design tokens — 'variable' and 'token' are often used interchangeably depending on the design tool.,Design & UX,2,Non-Technical,active
vector-graphic,Vector graphic,"An image made of mathematical paths (points, lines, curves) rather than a fixed grid of pixels, allowing it to scale without quality loss.",See SVG — vector graphics are the underlying format category that SVG is one common file format for.,Design & UX,2,Non-Technical,active
visual-language,Visual language,"The consistent visual style — color, typography, iconography, imagery — a product uses to communicate its brand and personality.","Sits above individual components in a design system, providing the overarching aesthetic that components and patterns are built to express.",Design & UX,2,Non-Technical,active
wireframe,Wireframe,"A simplified, low-fidelity layout of a screen showing structure and content placement without visual styling or detail.","Used early in design to nail down layout and information hierarchy before investing time in visual design — deliberately basic so feedback focuses on structure, not aesthetics.",Design & UX,1,Non-Technical,active
a-b-test,A/B Test,An experiment comparing two versions (A and B) of something to see which performs better against a defined metric.,See A/B Testing.,Agile & Delivery,2,Non-Technical,active
a-b-testing,A/B Testing,"A method of comparing two versions of a product, page, or feature by showing each to a random subset of users and measuring which performs better.","The workhorse of data-informed product decisions — isolates the effect of a single change by controlling for everything else, though it requires enough traffic/time to reach statistical significance.",Agile & Delivery,1,Non-Technical,active
acceptance-criteria,Acceptance Criteria,"The specific, testable conditions a user story or feature must meet to be considered complete.",Written before development starts so everyone agrees in advance what 'done' looks like — prevents disputes at review time about whether the work actually satisfies the requirement.,Agile & Delivery,1,Non-Technical,active
acceptance-test,Acceptance Test,A test run against acceptance criteria to confirm a feature meets requirements before it's considered complete.,"Often the final check before a story moves to 'done,' verifying the delivered work does what was agreed, not just that the code runs without errors.",Agile & Delivery,2,Non-Technical,active
adaptive-software-development,Adaptive Software Development (ASD),"An agile methodology emphasizing continuous adaptation through repeated cycles of speculate, collaborate, and learn, rather than rigid upfront planning.",One of the lesser-used named agile methodologies (predecessor influence on later frameworks); mentioned in PM glossaries mainly for historical/comparative context.,Agile & Delivery,2,Non-Technical,active
agile,Agile,"A family of iterative software development approaches that prioritize working software, customer collaboration, and responding to change over rigid upfront planning.","Formalized in the 2001 Agile Manifesto. Scrum and Kanban are the most common specific implementations; 'Agile' itself is a set of values and principles, not a single prescribed process.",Agile & Delivery,1,Non-Technical,active
agile-manifesto,Agile Manifesto,The founding 2001 document stating four core values and twelve principles behind Agile software development.,"Written by 17 software practitioners; its core values (e.g., 'individuals and interactions over processes and tools') are still the reference point for what 'being Agile' actually means, as opposed to just running Scrum ceremonies.",Agile & Delivery,1,Non-Technical,active
agile-principles,Agile Principles,"The twelve underlying principles that accompany the Agile Manifesto's four core values, elaborating on how to apply them.","Cover things like frequent delivery, welcoming changing requirements, and sustainable pace — the operational detail behind the manifesto's high-level values.",Agile & Delivery,1,Non-Technical,active
agile-transformation,Agile Transformation,An organization-wide effort to shift from traditional (often waterfall) processes to Agile ways of working.,"Involves changes to team structure, planning cadence, and culture — often harder and slower than expected, since Agile is as much a mindset shift as a process change.",Agile & Delivery,2,Non-Technical,active
agile-values,Agile Values,"The four core value statements of the Agile Manifesto (e.g., 'responding to change over following a plan').",See Agile Manifesto.,Agile & Delivery,1,Non-Technical,active
art-agile-release-train,ART: Agile Release Train,"In the Scaled Agile Framework (SAFe), a long-lived team of teams that plans, commits to, and delivers work together on a regular cadence (typically every ~10 weeks).","A structural mechanism for coordinating multiple Scrum teams working on a common solution, aligning them to shared Program Increments.",Agile & Delivery,1,Non-Technical,active
backlog,backlog (product),"An ordered list of everything a team might work on — features, fixes, and technical work — ranked roughly by priority.","The single source of truth for what's being considered for a product, distinct from the Sprint Backlog, which is just the subset committed to the current cycle.",Agile & Delivery,1,Non-Technical,active
backlog-grooming,backlog grooming,"The ongoing process of reviewing, refining, and reprioritizing items in the backlog to keep it healthy and ready for sprint planning.","Also called Backlog Refinement — prevents the backlog from becoming an unmanageable, stale pile of vague ideas.",Agile & Delivery,1,Non-Technical,active
blended-agile,blended agile,"An approach that mixes elements from multiple agile methodologies (e.g., Scrum ceremonies with Kanban flow) rather than following one framework strictly.","Common in practice, since most real teams adapt frameworks to their context rather than implementing any single methodology by the book.",Agile & Delivery,2,Non-Technical,active
blocked,blocked,"The status of a work item that cannot proceed because it's waiting on something else — a decision, a dependency, or another team's output.","Making blocked items visible (e.g., on a Kanban board) is important so the team can actively work to unblock them rather than letting them silently stall.",Agile & Delivery,2,Non-Technical,active
burndown-chart,Burndown Chart,"A chart tracking remaining work (in a sprint or project) against time, showing whether the team is on pace to finish.","A simple, visual way to spot early whether a sprint is at risk of not completing its committed work, so the team can adjust before it's too late.",Agile & Delivery,1,Non-Technical,active
continuous-improvement,Continuous Improvement (CI),"An ongoing practice of making small, incremental improvements to processes, products, or ways of working.",A lean/agile principle distinct from the CI in 'CI/CD' (Continuous Integration) despite sharing the same abbreviation — worth being explicit about which one is meant in conversation.,Agile & Delivery,1,Non-Technical,active
cost-of-delay,Cost of Delay,"A measure of the economic impact of not shipping something sooner — what it costs the business, per unit of time, to delay a piece of work.","Used in prioritization frameworks like WSJF to make delay tradeoffs explicit and comparable across different initiatives, rather than relying on gut feel.",Agile & Delivery,2,Non-Technical,active
crystal-agile-framework,Crystal Agile Framework,"A family of agile methodologies (Crystal Clear, Crystal Orange, etc.) that scale process formality to team size and project criticality.","Created by Alistair Cockburn; less prescriptive than Scrum, emphasizing people and communication over rigid process — mentioned mainly as one of several named agile approaches.",Agile & Delivery,2,Non-Technical,active
daily-scrum,Daily Scrum,"A short (typically 15-minute), daily team sync in Scrum where members share progress, plans, and blockers.","Also called Standup. Meant to surface coordination issues quickly, not to be a status report to a manager — the team talks to each other, not up a hierarchy.",Agile & Delivery,2,Non-Technical,active
deep-backlog,DEEP Backlog,"A quality standard for a product backlog: Detailed appropriately, Estimated, Emergent, and Prioritized.","A checklist (from Roman Pichler) for assessing whether a backlog is actually healthy and actionable, rather than just a long, unsorted list of ideas.",Agile & Delivery,2,Non-Technical,active
definition-of-done,Definition of Done (DoD),"A shared, explicit checklist of criteria a piece of work must meet before it's considered complete.","Prevents disputes and hidden work-in-progress — e.g., 'done' might require code review, tests passing, and documentation, not just 'the code runs.' Set at the team level and applied consistently across all work.",Agile & Delivery,1,Non-Technical,active
definition-of-ready,Definition of Ready,A checklist of criteria a backlog item must meet before a team agrees to pull it into a sprint.,"Complements Definition of Done — ensures a story isn't started until it's sufficiently clear (acceptance criteria defined, dependencies known) to be completed within the sprint.",Agile & Delivery,2,Non-Technical,active
dependency,Dependency,A piece of work or a decision that another piece of work relies on before it can proceed.,Managing dependencies well is a core coordination challenge in any multi-team delivery effort — unresolved dependencies are a common cause of missed deadlines.,Agile & Delivery,2,Non-Technical,active
dependency-management,Dependency Management,"The practice of identifying, tracking, and coordinating dependencies between teams or workstreams so they don't block delivery.",Especially critical in scaled/multi-team environments (see also ART: Agile Release Train) where one team's output blocks another's progress.,Agile & Delivery,1,Non-Technical,active
disciplined-agile,Disciplined Agile (DA),"A hybrid, toolkit-based agile approach that lets teams choose from a range of practices (Scrum, Kanban, Lean, etc.) based on their specific context.","Less prescriptive than a single named framework — positions itself as 'agile, but pick the practices that fit your situation' rather than one-size-fits-all.",Agile & Delivery,2,Non-Technical,active
dynamic-systems-development-method,Dynamic Systems Development Method (DSDM),"An agile framework emphasizing fixed time and cost with flexible scope, and strong business involvement throughout the project.",One of the earlier agile methodologies (predates the Agile Manifesto); mentioned mainly for historical completeness alongside other named frameworks.,Agile & Delivery,2,Non-Technical,active
engineering-backlog,Engineering Backlog,"A backlog of technical work — infrastructure, refactoring, tooling — maintained separately from (or as a subset of) the main product backlog.",Helps ensure technical health work doesn't get permanently deprioritized against customer-facing features when both compete for the same sprint capacity.,Agile & Delivery,2,Non-Technical,active
epic,Epic,"A large body of work that's too big to complete in a single sprint, typically broken down into multiple user stories.",A level of the work hierarchy above the individual story — used to group related stories under a common goal for roadmap and planning purposes.,Agile & Delivery,1,Non-Technical,active
extreme-programming,eXtreme Programming (XP),"An agile methodology emphasizing engineering practices like pair programming, test-driven development, and continuous integration to improve software quality and responsiveness to change.","More technically prescriptive than Scrum, which focuses more on process/roles — XP specifically targets engineering discipline as the lever for agility.",Agile & Delivery,1,Non-Technical,active
feature-driven-development,Feature Driven Development (FDD),"An agile methodology organized around building and tracking progress through a list of client-valued features, each broken into short, well-defined development steps.","Less commonly used today than Scrum or Kanban, but historically influential; emphasizes domain modeling and feature-by-feature delivery.",Agile & Delivery,1,Non-Technical,active
fibonacci-agile-estimation,Fibonacci Agile Estimation,"Using Fibonacci-like numbers (1, 2, 3, 5, 8, 13...) as the scale for estimating relative story size in Story Points.",The increasing gaps between numbers reflect the reality that estimates get less precise for larger items — forces teams to break down big items rather than pretend they can estimate them precisely.,Agile & Delivery,2,Non-Technical,active
gantt-chart,Gantt Chart,"A bar chart showing a project's schedule, with tasks plotted against time and dependencies between them visualized.","A classic project-management tool associated more with Waterfall-style planning than Agile, though still used for cross-team roadmap communication and dependency visualization.",Agile & Delivery,1,Non-Technical,active
greenfield-project,Greenfield Project,"A project built from scratch, with no existing codebase, constraints, or legacy system to work around.",Contrasted with 'brownfield' work (building on top of an existing system) — greenfield projects offer more design freedom but also less to learn from and more unknowns.,Agile & Delivery,2,Non-Technical,active
iteration,Iteration,"A single cycle of planning, building, and reviewing work — often used interchangeably with 'sprint' in non-Scrum-specific contexts.","Emphasizes the repeated, incremental nature of agile delivery: build a bit, learn, adjust, repeat, rather than one long build phase.",Agile & Delivery,1,Non-Technical,active
iterative-process,Iterative process,"A process built around repeated cycles of doing and refining, rather than one long linear sequence.",See Iteration — the general process philosophy underlying Agile development.,Agile & Delivery,2,Non-Technical,active
iterative-testing,Iterative Testing,"Repeatedly testing a product or feature across multiple cycles, refining based on what's learned each time.",Applies the iteration concept specifically to QA/validation work rather than to development in general.,Agile & Delivery,2,Non-Technical,active
kaizen,Kaizen,"A Japanese lean manufacturing philosophy of continuous, incremental improvement involving everyone in an organization.",Influenced Agile and Lean software practices; in a product context it shows up as an expectation that teams regularly reflect and improve their own process (see also Retrospective).,Agile & Delivery,2,Non-Technical,active
kanban,Kanban,"A workflow management method that visualizes work on a board, limits work in progress, and pulls new work as capacity frees up.","Originated in Toyota's manufacturing system; unlike Scrum, it doesn't use fixed-length sprints — work flows continuously, and the focus is on limiting WIP to improve flow and reduce bottlenecks.",Agile & Delivery,1,Non-Technical,active
kanban-board,Kanban Board,"A visual board (physical or digital) with columns representing workflow stages, used to track work items as they move through a Kanban process.",The core artifact of Kanban — makes work-in-progress and bottlenecks immediately visible to the whole team.,Agile & Delivery,1,Non-Technical,active
lean-development,Lean Development,"Applying lean manufacturing principles (eliminate waste, amplify learning, decide as late as possible) to software development.",A philosophical cousin of Agile with roots in the Toyota Production System; emphasizes efficiency and continuous flow over rigid process.,Agile & Delivery,2,Non-Technical,active
lean-product-development,Lean Product Development,"Applying lean principles specifically to the product development process, minimizing wasted effort on unvalidated ideas.","Closely related to Lean Startup, with an emphasis on validated learning and reducing time from idea to customer feedback.",Agile & Delivery,1,Non-Technical,active
lean-software-development,Lean Software Development,The application of Lean manufacturing principles specifically to software engineering practice.,See Lean Development — the software-specific application of the same underlying lean philosophy.,Agile & Delivery,2,Non-Technical,active
less,LeSS (Large Scale Scrum),"A framework for scaling Scrum to multiple teams working on a single product, while keeping as much of standard Scrum intact as possible.",Deliberately minimalist compared to more prescriptive scaling frameworks like SAFe — adds only what's necessary to coordinate multiple teams.,Agile & Delivery,2,Non-Technical,active
pair-programming,Pair Programming,A practice where two developers work together at one workstation — one writing code while the other reviews it in real time.,"An Extreme Programming (XP) practice aimed at improving code quality and knowledge-sharing, at the cost of using two people's time on one task.",Agile & Delivery,2,Non-Technical,active
pert-chart,PERT Chart,"Program Evaluation and Review Technique chart — a diagram showing project tasks, their dependencies, and estimated durations to identify the critical path.","An older project-planning tool (developed by the US Navy in the 1950s), more common in traditional/Waterfall project management than in Agile teams, but still used for complex, dependency-heavy planning.",Agile & Delivery,2,Non-Technical,active
planning-poker,Planning Poker,"A consensus-based estimation technique where team members privately select a Story Points estimate, then reveal simultaneously and discuss any big discrepancies.",Prevents anchoring bias (where the first person to speak influences everyone else's estimate) by having everyone commit to a number before discussing.,Agile & Delivery,2,Non-Technical,active
product-retrospective,Product Retrospective,A retrospective focused specifically on a product (or product launch) rather than a single team's sprint process.,"Broader in scope than a standard sprint Retrospective — looks at product outcomes and decisions, not just team working process.",Agile & Delivery,2,Non-Technical,active
rapid-application-development,Rapid Application Development (RAD),A software development methodology emphasizing fast prototyping and iterative releases over detailed upfront planning.,"An older methodology (1990s) that influenced later agile thinking; still occasionally referenced when contrasting fast, iterative approaches with heavier, plan-driven ones.",Agile & Delivery,2,Non-Technical,active
release-demo,Release Demo,"A demonstration of newly completed work shown to stakeholders, typically at the end of a sprint or release cycle.","See Sprint Review — often used interchangeably; the point is showing working software to get feedback and validate direction, not just reporting status.",Agile & Delivery,2,Non-Technical,active
retrospective,Retrospective (Retro),"A regular team meeting (typically at the end of a sprint) to reflect on what went well, what didn't, and what to improve.","One of the core Scrum ceremonies; distinct from a Sprint Review — the retro is about the team's process, not the product output.",Agile & Delivery,1,Non-Technical,active
scaled-agile-framework,Scaled Agile Framework,Commonly known as SAFe — a framework for applying Agile and Lean practices across large organizations with many teams working on interdependent products.,"Provides structure for coordinating multiple Scrum teams (via constructs like the Agile Release Train) at enterprise scale; more prescriptive and process-heavy than team-level Scrum, which is both its main appeal and its main criticism.",Agile & Delivery,2,Non-Technical,active
scope-creep,Scope creep,"The gradual, often unapproved expansion of a project's requirements beyond what was originally agreed.",A common cause of missed deadlines; managed by having a clear scope baseline and a deliberate process for evaluating and approving any additions.,Agile & Delivery,1,Non-Technical,active
scrum,Scrum,"An Agile framework organizing work into fixed-length sprints, with defined roles (Product Owner, Scrum Master, Development Team) and ceremonies (planning, daily standup, review, retrospective).",The most widely adopted specific implementation of Agile values; provides more structure and prescribed process than the broader Agile philosophy alone.,Agile & Delivery,1,Non-Technical,active
scrum-meeting,Scrum Meeting,"Any of the standard Scrum ceremonies (daily standup, sprint planning, review, retrospective).",Used loosely to refer to Scrum's regular meeting cadence; most often specifically means the Daily Scrum/standup.,Agile & Delivery,2,Non-Technical,active
scrumban,Scrumban,"A hybrid approach combining Scrum's structure (roles, ceremonies) with Kanban's continuous-flow, WIP-limited board.","Popular with teams that want some Scrum discipline (like regular retrospectives) without committing to strict, fixed-length sprints.",Agile & Delivery,2,Non-Technical,active
shape-up-method,Shape Up Method,"Basecamp's product development methodology using fixed six-week cycles, 'appetite'-based scoping (time budget first, not detailed spec), and no backlog grooming.","A notable departure from Scrum — instead of estimating how long a well-defined feature takes, teams decide how much time they're willing to spend and shape the solution to fit.",Agile & Delivery,1,Non-Technical,active
sprint,Sprint,"A fixed, time-boxed period (commonly two weeks) during which a Scrum team commits to completing a set amount of work.","The core rhythm of Scrum — provides a predictable cadence for planning, delivering, and reviewing work, and a regular checkpoint for adjusting priorities.",Agile & Delivery,1,Non-Technical,active
sprint-backlog,Sprint Backlog,"The set of items a team has committed to completing during the current sprint, pulled from the broader product backlog.","Distinct from the product backlog (the full list of everything that might get built eventually) — the sprint backlog is the specific, committed slice for this cycle.",Agile & Delivery,2,Non-Technical,active
sprint-goal,Sprint Goal,A short statement describing the overarching objective a team is trying to achieve in a given sprint.,"Gives a sprint's individual stories a shared purpose, and provides a basis for the team to make tradeoff calls if not everything planned can be completed.",Agile & Delivery,2,Non-Technical,active
sprint-planning,Sprint Planning,A ceremony at the start of a sprint where the team decides what work to commit to and how they'll approach it.,"Sets the Sprint Backlog and, ideally, a clear Sprint Goal — the foundational planning event for the cycle ahead.",Agile & Delivery,1,Non-Technical,active
sprint-velocity,Sprint Velocity,"The amount of work (usually measured in story points) a team completes per sprint, tracked over time.","See Velocity — used to forecast how much work a team can realistically commit to in future sprints, based on historical throughput.",Agile & Delivery,2,Non-Technical,active
standup,Standup,Short form for Daily Scrum/Daily Standup — a brief daily team sync.,See Daily Scrum.,Agile & Delivery,1,Non-Technical,active
story-point,Story Point,A single unit of relative sizing used to estimate the effort/complexity of a user story.,See Story Points.,Agile & Delivery,2,Non-Technical,active
story-points,Story Points,"An abstract, relative unit teams use to estimate the size or complexity of a user story, rather than estimating hours directly.","Deliberately relative (a 5 is roughly twice a 2-3) rather than absolute, which tends to produce more consistent estimates than trying to predict exact hours, especially for creative/uncertain work.",Agile & Delivery,1,Non-Technical,active
t-shirt-sizing,T-shirt sizing,"A simplified relative-estimation technique using size categories (XS, S, M, L, XL) instead of numeric story points.",Faster and lower-precision than Fibonacci-based story pointing — useful for high-level roadmap estimation where exact numbers aren't needed yet.,Agile & Delivery,2,Non-Technical,active
user-story,User Story,"A short, plain-language description of a feature from the end user's perspective, typically in the format 'As a [user], I want [goal], so that [benefit].'",Keeps requirements focused on user value rather than technical implementation; paired with Acceptance Criteria to define when the story is complete.,Agile & Delivery,1,Non-Technical,active
velocity,Velocity,A team's average rate of completing work (typically measured in story points) per sprint.,"Used for forecasting and sprint planning, but a poor metric for comparing teams against each other since point scales aren't standardized across teams.",Agile & Delivery,1,Non-Technical,active
waterfall,Waterfall,"A traditional, linear software development approach where each phase (requirements, design, build, test, release) is completed fully before the next begins.","Contrasted with Agile's iterative approach; still used for projects with well-understood, stable requirements and heavy dependency/compliance needs, but criticized for making it costly to change direction once a phase is done.",Agile & Delivery,1,Non-Technical,active
waterfall-model,Waterfall Model,The formal name for the Waterfall development approach.,See Waterfall.,Agile & Delivery,2,Non-Technical,active
weighted-shortest-job-first,Weighted Shortest Job First (WSJF),"A prioritization method (used in SAFe) that scores work by dividing Cost of Delay by job size, prioritizing items with the best 'value per unit of effort, adjusted for urgency.'",A more economically rigorous approach than simple stack-ranking — explicitly weighs urgency (cost of delay) against effort rather than treating all backlog items as equally time-sensitive.,Agile & Delivery,2,Non-Technical,active
aarrr-pirate-metrics-framework,AARRR Pirate Metrics Framework,"A growth framework tracking five stages of the customer lifecycle: Acquisition, Activation, Retention, Referral, Revenue.",Coined by Dave McClure ('Pirate Metrics' from the AARRR acronym). Gives growth-focused teams a shared vocabulary and structure for diagnosing where in the funnel they're losing users.,Metrics & Growth,1,Non-Technical,active
acquisition,Acquisition,The stage of the customer lifecycle where a new user first discovers and signs up for a product.,The first stage of the AARRR framework — measured by channels and cost (see Customer Acquisition Cost) that bring in new users.,Metrics & Growth,2,Non-Technical,active
activation,Activation,The point at which a new user experiences the product's core value for the first time — the 'aha moment.',"The second stage of AARRR; often the highest-leverage stage to optimize, since a user who never activates was never really acquired in a meaningful sense.",Metrics & Growth,2,Non-Technical,active
analytics,analytics (product),See Product Analytics — the practice of measuring and analyzing user behavior within a product.,See Product Analytics.,Metrics & Growth,2,Non-Technical,active
annual-contract-value,annual contract value,"The average annualized value of a customer contract, commonly used in B2B/enterprise sales to normalize deals of different lengths.","Distinct from ARR (which is the aggregate across all customers) — ACV describes a single deal's annualized worth, often used to segment and prioritize sales/account efforts.",Metrics & Growth,2,Non-Technical,active
arpu,ARPU,Average Revenue Per User — total revenue divided by the number of active users or accounts over a given period.,A standard SaaS/subscription metric for understanding monetization efficiency; often segmented by user cohort or plan tier to spot where revenue is concentrated.,Metrics & Growth,2,Non-Technical,active
arr,ARR (Annual Recurring Revenue),The value of recurring revenue a subscription business expects to receive over a 12-month period.,"A core SaaS health metric, used to track growth and communicate scale to investors; distinct from total revenue since it excludes one-time fees.",Metrics & Growth,1,Non-Technical,active
business-intelligence,Business Intelligence (BI),"The technology, processes, and practices used to collect, analyze, and present business data to support decision-making.",PMs interact with BI through dashboards and reporting tools built on top of product and business data — understanding what's in the BI stack helps a PM ask for the right metrics.,Metrics & Growth,1,Non-Technical,active
churn,Churn,The rate at which customers stop using or paying for a product over a given period.,"One of the most closely watched metrics in subscription businesses — high churn undermines growth even with strong acquisition, since the business is a leaky bucket.",Metrics & Growth,1,Non-Technical,active
churn-rate,Churn Rate,"The percentage of customers (or revenue) lost over a specific period, typically monthly or annually.","See Churn — 'churn rate' is the formal metric version, usually calculated as customers lost divided by customers at the start of the period.",Metrics & Growth,1,Non-Technical,active
cohorts,Cohorts,"Groups of users who share a common characteristic or starting point in time (e.g., 'users who signed up in January'), analyzed together.","Cohort analysis lets teams see how behavior (like retention) changes over time for a defined group, which is more informative than aggregate metrics that can mask trends.",Metrics & Growth,2,Non-Technical,active
conversion-rate,Conversion Rate,The percentage of users who complete a desired action (like signing up or purchasing) out of all who had the opportunity to.,"A fundamental funnel metric used to evaluate and A/B test changes at any step of a user's journey, from ad click to checkout.",Metrics & Growth,1,Non-Technical,active
customer-acquisition-cost,Customer Acquisition Cost (CAC),"The average cost of acquiring one new customer, including marketing and sales spend.",Typically evaluated alongside Lifetime Value (LTV) — a healthy business generally needs LTV to significantly exceed CAC (commonly cited as a 3:1 ratio or better) for the growth model to be sustainable.,Metrics & Growth,1,Non-Technical,active
customer-experience,Customer Experience (CX),"The overall perception a customer has of a company based on all their interactions across the full relationship, not just the product.","Broader than UX — includes support, billing, sales, and every other touchpoint. PMs influence CX through the product but don't fully own it.",Metrics & Growth,1,Non-Technical,active
customer-lifetime-value,Customer Lifetime Value (CLV),The total revenue a business expects to earn from a customer over the entire relationship.,"See Lifetime Value (LTV) — same concept, alternate abbreviation.",Metrics & Growth,2,Non-Technical,active
customer-satisfaction,Customer Satisfaction (CSAT),"A metric measuring how satisfied customers are with a product, service, or specific interaction, typically via a short post-interaction survey.",Simpler and more transactional than NPS — usually asked right after a specific experience (like a support ticket) rather than about overall loyalty.,Metrics & Growth,2,Non-Technical,active
customer-success,Customer Success,"A discipline (and often a dedicated team) focused on proactively helping customers achieve their desired outcomes with a product, to drive retention and expansion.","Common in B2B SaaS; overlaps with product in caring about adoption and retention, but Customer Success typically owns the direct relationship and intervention, while product owns the underlying experience.",Metrics & Growth,2,Non-Technical,active
data-analytics,Data Analytics,The practice of examining data to draw conclusions and inform decisions.,"In product work, this spans everything from simple dashboard review to more advanced statistical or predictive analysis of user behavior.",Metrics & Growth,2,Non-Technical,active
data-driven-decision-making,Data-Driven Decision Making,Making decisions primarily based on data analysis rather than intuition or opinion.,"A widely championed but often overstated ideal — most strong product decisions blend data with judgment and qualitative research, since data alone rarely tells you why something is happening or what to do about it.",Metrics & Growth,2,Non-Technical,active
dau-daily-active-users,DAU: Daily Active Users,The number of unique users who engage with a product on a given day.,"A core engagement metric, often tracked alongside MAU (Monthly Active Users); the DAU/MAU ratio is a common proxy for how 'sticky' or habit-forming a product is.",Metrics & Growth,2,Non-Technical,active
engagement-rate,Engagement Rate,"A measure of how actively users interact with a product, often expressed as a percentage of users taking a defined action.","Definition varies a lot by product and context (opens, time spent, actions taken) — important to be specific about what's being measured rather than treating 'engagement' as one universal number.",Metrics & Growth,2,Non-Technical,active
funnel,Funnel,"A visualization of the sequential steps users take toward a goal (like signup or purchase), showing where drop-off occurs at each stage.",A foundational tool for diagnosing conversion problems — narrowing at any step highlights exactly where to focus optimization effort.,Metrics & Growth,2,Non-Technical,active
gamification,Gamification,"Applying game-like elements (points, badges, leaderboards, progress bars) to a non-game product to boost engagement or motivation.",Effective when it reinforces genuinely valuable behavior; criticized when used superficially to manipulate engagement metrics without real user benefit.,Metrics & Growth,2,Non-Technical,active
growth-hacking,Growth Hacking,"A mindset and set of fast, often unconventional, low-cost tactics aimed at rapid user or revenue growth, typically blending marketing, product, and data skills.",Associated with early-stage startups needing to find scalable growth channels quickly; can blur into product work when the 'hack' is a product feature (like a referral mechanic) rather than a marketing campaign.,Metrics & Growth,2,Non-Technical,active
growth-loops,Growth Loops,"Self-reinforcing cycles where an output of the product (e.g., invited users) becomes an input that drives more growth, without needing new marketing spend each cycle.","Contrasted with a traditional linear funnel — a growth loop compounds because each new user can generate more new users (e.g., viral referral mechanics, user-generated content driving SEO).",Metrics & Growth,2,Non-Technical,active
impression,Impression,A single instance of content (like an ad or a piece of content) being displayed to a user.,"A basic unit of measurement in advertising/marketing analytics — distinct from a click or conversion, which requires the user to actually act.",Metrics & Growth,2,Non-Technical,active
key-performance-indicator,Key Performance Indicator (KPI),"A specific, measurable metric used to evaluate progress toward an important goal.",Distinguished from just 'any metric' by being tied directly to a strategic objective and tracked consistently over time — a good KPI set is deliberately small so it stays actionable.,Metrics & Growth,1,Non-Technical,active
kpis,KPIs (Key Performance Indicators),"The plural of Key Performance Indicator — a set of specific, quantifiable measures used to evaluate progress toward goals.",See Key Performance Indicator (KPI).,Metrics & Growth,1,Non-Technical,active
lifetime-value,Lifetime Value (LTV),The total revenue a business expects to earn from a single customer over the full duration of their relationship.,Central to unit economics — evaluated against Customer Acquisition Cost to determine whether a business's growth model is financially sustainable.,Metrics & Growth,1,Non-Technical,active
monthly-recurring-revenue,Monthly Recurring Revenue (MRR),The predictable revenue a subscription business expects to receive each month.,"A core operating metric for SaaS businesses, tracked closely for growth trends; ARR is simply MRR multiplied by 12 for an annualized view.",Metrics & Growth,1,Non-Technical,active
net-promoter-score,Net Promoter Score (NPS),"A metric measuring customer loyalty, based on how likely customers are to recommend a product to others (scored 0-10, with promoters, passives, and detractors).",Widely used but also widely criticized as an oversimplified single number; still valuable as a longitudinal trend indicator and conversation-starter for qualitative follow-up.,Metrics & Growth,1,Non-Technical,active
north-star-metrics,North Star Metrics,"The single metric a team or company uses as the primary measure of the value it's delivering, that all other metrics ladder up to.","The idea (popularized in growth circles) is that a well-chosen North Star metric aligns cross-functional teams around a shared definition of success, rather than every team optimizing a different local metric.",Metrics & Growth,2,Non-Technical,active
objectives-and-key-results,Objectives and Key Results (OKRs),A goal-setting framework pairing a qualitative Objective (what you want to achieve) with measurable Key Results (how you'll know you got there).,"Popularized by Intel and later Google; designed to align teams around ambitious, measurable goals with regular check-ins, distinct from KPIs, which track ongoing health rather than time-bound stretch goals.",Metrics & Growth,1,Non-Technical,active
personalization,Personalization,"Tailoring a product's content, features, or experience to an individual user's characteristics, behavior, or preferences.","Ranges from simple (showing a user's name) to sophisticated (algorithmically customized recommendations); a growth and retention lever when done well, but can feel invasive if overdone.",Metrics & Growth,1,Non-Technical,active
